DATETIME,DELTA,THETA,LOW ALPHA,HIGH ALPHA,LOW BETA,HIGH BETA,LOW GAMMA,HIGH GAMMA,ATTENTION,MEDITATION
Wed Dec 12 2018 18:09:57 GMT+0530 (India Standard Time),67722,4713,7920,8315,2568,2825,1329,1182,56,80
Wed Dec 12 2018 18:09:58 GMT+0530 (India Standard Time),157483,31625,4343,9237,21701,9395,2045,1329,53,75
Wed Dec 12 2018 18:09:59 GMT+0530 (India Standard Time),1209249,492262,82476,106980,75984,39857,33146,5467,44,57
Wed Dec 12 2018 18:10:00 GMT+0530 (India Standard Time),849973,145424,49006,92153,118132,66785,38842,10651,44,57
Wed Dec 12 2018 18:10:01 GMT+0530 (India Standard Time),106015,64536,48836,28028,14641,21132,8522,1746,66,61
Wed Dec 12 2018 18:10:02 GMT+0530 (India Standard Time),37068,41222,2726,5101,3681,2802,623,725,54,30
Wed Dec 12 2018 18:10:04 GMT+0530 (India Standard Time),61743,12282,19188,20587,4943,3961,4334,1664,48,66
Wed Dec 12 2018 18:10:05 GMT+0530 (India Standard Time),11701,13788,6958,4312,10045,4456,3708,1012,51,60
Wed Dec 12 2018 18:10:06 GMT+0530 (India Standard Time),25730,43828,8575,3807,9686,6194,1793,2692,60,61
Wed Dec 12 2018 18:10:07 GMT+0530 (India Standard Time),1215641,107692,18282,25134,11876,28837,5536,4779,69,53
Wed Dec 12 2018 18:10:08 GMT+0530 (India Standard Time),1459077,92964,76552,103462,29008,45520,9867,6165,78,44
Wed Dec 12 2018 18:10:09 GMT+0530 (India Standard Time),1530664,203499,86207,23240,21955,11962,3450,3859,57,47
Wed Dec 12 2018 18:10:10 GMT+0530 (India Standard Time),472600,59047,72852,5577,21607,7628,6599,2526,48,66
Wed Dec 12 2018 18:10:11 GMT+0530 (India Standard Time),1498582,63368,5684,11189,6761,7680,6047,1661,41,63
Wed Dec 12 2018 18:10:12 GMT+0530 (India Standard Time),48334,39239,36613,13366,13623,7548,13404,3584,34,61
